Date,Time (SGT),Li2CO3 Technical Grade Min,Li2CO3 Technical Grade Max,Li2CO3 Technical Grade Avg,Li2CO3 Technical Grade Range,Li2CO3 Battery Grade Min,Li2CO3 Battery Grade Max,Li2CO3 Battery Grade Avg,Li2CO3 Battery Grade Range,LiOH Industrial Grade Min,LiOH Industrial Grade Max,LiOH Industrial Grade Avg,LiOH Industrial Grade Range,LiOH Battery Grade (Coarse) Min,LiOH Battery Grade (Coarse) Max,LiOH Battery Grade (Coarse) Avg,LiOH Battery Grade (Coarse) Range,LiOH Battery Grade (CIF CJK) Min,LiOH Battery Grade (CIF CJK) Max,LiOH Battery Grade (CIF CJK) Avg,LiOH Battery Grade (CIF CJK) Range,LiOH Battery Grade (Micro) Min,LiOH Battery Grade (Micro) Max,LiOH Battery Grade (Micro) Avg,LiOH Battery Grade (Micro) Range,LiOH Battery Grade (SMM Index) Min,LiOH Battery Grade (SMM Index) Max,LiOH Battery Grade (SMM Index) Avg,LiOH Battery Grade (SMM Index) Range,6s pCAM Mono NEV Min,6s pCAM Mono NEV Max,6s pCAM Mono NEV Avg,6s pCAM Mono NEV Range,6s pCAM Poly CE Min,6s pCAM Poly CE Max,6s pCAM Poly CE Avg,6s pCAM Poly CE Range,6s Cathode Mono NEV Min,6s Cathode Mono NEV Max,6s Cathode Mono NEV Avg,6s Cathode Mono NEV Range,6s Cathode Poly CE Min,6s Cathode Poly CE Max,6s Cathode Poly CE Avg,6s Cathode Poly CE Range,6s Prismatic Cell Min,6s Prismatic Cell Max,6s Prismatic Cell Avg,6s Prismatic Cell Range,6s Prismatic Pack Min,6s Prismatic Pack Max,6s Prismatic Pack Avg,6s Prismatic Pack Range,6s Battery Pack Min,6s Battery Pack Max,6s Battery Pack Avg,6s Battery Pack Range,8s pCAM Poly NEV Min,8s pCAM Poly NEV Max,8s pCAM Poly NEV Avg,8s pCAM Poly NEV Range,8s pCAM Poly CE Min,8s pCAM Poly CE Max,8s pCAM Poly CE Avg,8s pCAM Poly CE Range,8s Cathode Poly NEV Min,8s Cathode Poly NEV Max,8s Cathode Poly NEV Avg,8s Cathode Poly NEV Range,8s Cathode Poly CE Min,8s Cathode Poly CE Max,8s Cathode Poly CE Avg,8s Cathode Poly CE Range,8s Battery Cell Min,8s Battery Cell Max,8s Battery Cell Avg,8s Battery Cell Range,8s Battery Pack Min,8s Battery Pack Max,8s Battery Pack Avg,8s Battery Pack Range,5s pCAM Mono NEV Min,5s pCAM Mono NEV Max,5s pCAM Mono NEV Avg,5s pCAM Mono NEV Range,5s pCAM Poly CE Min,5s pCAM Poly CE Max,5s pCAM Poly CE Avg,5s pCAM Poly CE Range,5s Cathode Mono NEV Min,5s Cathode Mono NEV Max,5s Cathode Mono NEV Avg,5s Cathode Mono NEV Range,5s Cathode Poly CE Min,5s Cathode Poly CE Max,5s Cathode Poly CE Avg,5s Cathode Poly CE Range,Ni Sulphate Min,Ni Sulphate Max,Ni Sulphate Avg,Ni Sulphate Range,Co Sulphate Min,Co Sulphate Max,Co Sulphate Avg,Co Sulphate Range,Mn Sulphate Min,Mn Sulphate Max,Mn Sulphate Avg,Mn Sulphate Range
2025-04-17,13:30,8348.18,8468.91,8408.55,120.73,8474.95,8800.91,8637.92,325.96,7249.58,7913.57,7581.58,663.99,8129.67,8506.33,8318.0,376.66,,,,,8616.19,9257.25,8936.72,641.06,8336.23,8336.23,8336.23,0.0,8713.38,8865.49,8789.44,152.11,8593.26,8741.75,8667.5,148.49,14508.82,15456.51,14982.67,947.69,13032.34,14338.59,13685.47,1306.25,0.058,0.062,0.06,0.0,0.077,0.083,0.08,0.01,2837.05,3078.51,2957.78,241.46,10890.67,11007.77,10949.22,117.1,10709.58,10874.97,10792.28,165.39,17447.28,18002.62,17724.95,555.34,15805.41,16336.6,16071.01,531.19,0.07,0.08,0.08,0.01,2837.05,3138.87,2987.96,301.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-17,16:42,8348.18,8468.91,8408.55,120.73,8474.95,8800.91,8637.92,325.96,7249.58,7913.57,7581.58,663.99,8129.67,8506.33,8318.0,376.66,,,,,8616.19,9257.25,8936.72,641.06,8336.23,8336.23,8336.23,0.0,8713.38,8865.49,8789.44,152.11,8593.26,8741.75,8667.5,148.49,14508.82,15456.51,14982.67,947.69,13032.34,14338.59,13685.47,1306.25,0.058,0.062,0.06,0.0,0.077,0.083,0.08,0.01,2837.05,3078.51,2957.78,241.46,10890.67,11007.77,10949.22,117.1,10709.58,10874.97,10792.28,165.39,17447.28,18002.62,17724.95,555.34,15805.41,16336.6,16071.01,531.19,0.07,0.08,0.08,0.01,2837.05,3138.87,2987.96,301.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-18,16:42,8363.02,8483.96,8423.49,120.94,8477.91,8804.45,8641.18,326.54,7256.41,7921.58,7589.0,665.17,8132.02,8516.61,8324.31,384.59,,,,,8625.46,9267.65,8946.55,642.19,8343.66,8343.66,8343.67,0.0,8728.86,8881.24,8805.05,152.38,8608.52,8757.28,8682.9,148.76,14534.59,15483.97,15009.28,949.38,13055.49,14364.07,13709.78,1308.58,0.058,0.062,0.06,0.0,0.077,0.084,0.08,0.01,2842.09,3083.98,2963.04,241.89,10910.02,11027.33,10968.67,117.31,10728.61,10894.29,10811.45,165.68,17477.07,18033.39,17755.23,556.32,15832.28,16364.42,16098.35,532.14,0.07,0.08,0.08,0.01,2842.09,3144.45,2993.27,302.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-19,16:42,8363.02,8483.96,8423.49,120.94,8477.91,8804.45,8641.18,326.54,7256.41,7921.58,7589.0,665.17,8132.02,8516.61,8324.31,384.59,,,,,8625.46,9267.65,8946.55,642.19,8343.66,8343.66,8343.67,0.0,8728.86,8881.24,8805.05,152.38,8608.52,8757.28,8682.9,148.76,14534.59,15483.97,15009.28,949.38,13055.49,14364.07,13709.78,1308.58,0.058,0.062,0.06,0.0,0.077,0.084,0.08,0.01,2842.09,3083.98,2963.04,241.89,10910.02,11027.33,10968.67,117.31,10728.61,10894.29,10811.45,165.68,17477.07,18033.39,17755.23,556.32,15832.28,16364.42,16098.35,532.14,0.07,0.08,0.08,0.01,2842.09,3144.45,2993.27,302.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-20,10:45,8363.02,8483.96,8423.49,120.94,8477.91,8804.45,8641.18,326.54,7256.41,7921.58,7589.0,665.17,8132.02,8516.61,8324.31,384.59,,,,,8625.46,9267.65,8946.55,642.19,8343.66,8343.66,8343.67,0.0,8728.86,8881.24,8805.05,152.38,8608.52,8757.28,8682.9,148.76,14534.59,15483.97,15009.28,949.38,13055.49,14364.07,13709.78,1308.58,0.058,0.062,0.06,0.0,0.077,0.084,0.08,0.01,2842.09,3083.98,2963.04,241.89,10910.02,11027.33,10968.67,117.31,10728.61,10894.29,10811.45,165.68,17477.07,18033.39,17755.23,556.32,15832.28,16364.42,16098.35,532.14,0.07,0.08,0.08,0.01,2842.09,3144.45,2993.27,302.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-20,11:29,8363.02,8483.96,8423.49,120.94,8477.91,8804.45,8641.18,326.54,7256.41,7921.58,7589.0,665.17,8132.02,8516.61,8324.31,384.59,,,,,8625.46,9267.65,8946.55,642.19,8343.66,8343.66,8343.67,0.0,8728.86,8881.24,8805.05,152.38,8608.52,8757.28,8682.9,148.76,14534.59,15483.97,15009.28,949.38,13055.49,14364.07,13709.78,1308.58,0.058,0.062,0.06,0.0,0.077,0.084,0.08,0.01,2842.09,3083.98,2963.04,241.89,10910.02,11027.33,10968.67,117.31,10728.61,10894.29,10811.45,165.68,17477.07,18033.39,17755.23,556.32,15832.28,16364.42,16098.35,532.14,0.07,0.08,0.08,0.01,2842.09,3144.45,2993.27,302.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-20,12:46,8363.02,8483.96,8423.49,120.94,8477.91,8804.45,8641.18,326.54,7256.41,7921.58,7589.0,665.17,8132.02,8516.61,8324.31,384.59,,,,,8625.46,9267.65,8946.55,642.19,8343.66,8343.66,8343.67,0.0,8728.86,8881.24,8805.05,152.38,8608.52,8757.28,8682.9,148.76,14534.59,15483.97,15009.28,949.38,13055.49,14364.07,13709.78,1308.58,0.058,0.062,0.06,0.0,0.077,0.084,0.08,0.01,2842.09,3083.98,2963.04,241.89,10910.02,11027.33,10968.67,117.31,10728.61,10894.29,10811.45,165.68,17477.07,18033.39,17755.23,556.32,15832.28,16364.42,16098.35,532.14,0.07,0.08,0.08,0.01,2842.09,3144.45,2993.27,302.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-20,14:51,8363.02,8483.96,8423.49,120.94,8477.91,8804.45,8641.18,326.54,7256.41,7921.58,7589.0,665.17,8132.02,8516.61,8324.31,384.59,,,,,8625.46,9267.65,8946.55,642.19,8343.66,8343.66,8343.67,0.0,8728.86,8881.24,8805.05,152.38,8608.52,8757.28,8682.9,148.76,14534.59,15483.97,15009.28,949.38,13055.49,14364.07,13709.78,1308.58,0.058,0.062,0.06,0.0,0.077,0.084,0.08,0.01,2842.09,3083.98,2963.04,241.89,10910.02,11027.33,10968.67,117.31,10728.61,10894.29,10811.45,165.68,17477.07,18033.39,17755.23,556.32,15832.28,16364.42,16098.35,532.14,0.07,0.08,0.08,0.01,2842.09,3144.45,2993.27,302.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-20,16:49,8363.02,8483.96,8423.49,120.94,8477.91,8804.45,8641.18,326.54,7256.41,7921.58,7589.0,665.17,8132.02,8516.61,8324.31,384.59,,,,,8625.46,9267.65,8946.55,642.19,8343.66,8343.66,8343.67,0.0,8728.86,8881.24,8805.05,152.38,8608.52,8757.28,8682.9,148.76,14534.59,15483.97,15009.28,949.38,13055.49,14364.07,13709.78,1308.58,0.058,0.062,0.06,0.0,0.077,0.084,0.08,0.01,2842.09,3083.98,2963.04,241.89,10910.02,11027.33,10968.67,117.31,10728.61,10894.29,10811.45,165.68,17477.07,18033.39,17755.23,556.32,15832.28,16364.42,16098.35,532.14,0.07,0.08,0.08,0.01,2842.09,3144.45,2993.27,302.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-20,19:24,8363.02,8483.96,8423.49,120.94,8477.91,8804.45,8641.18,326.54,7256.41,7921.58,7589.0,665.17,8132.02,8516.61,8324.31,384.59,,,,,8625.46,9267.65,8946.55,642.19,8343.66,8343.66,8343.67,0.0,8728.86,8881.24,8805.05,152.38,8608.52,8757.28,8682.9,148.76,14534.59,15483.97,15009.28,949.38,13055.49,14364.07,13709.78,1308.58,0.058,0.062,0.06,0.0,0.077,0.084,0.08,0.01,2842.09,3083.98,2963.04,241.89,10910.02,11027.33,10968.67,117.31,10728.61,10894.29,10811.45,165.68,17477.07,18033.39,17755.23,556.32,15832.28,16364.42,16098.35,532.14,0.07,0.08,0.08,0.01,2842.09,3144.45,2993.27,302.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
